topic,lvl,month,pct
Music discovery,0,apr,0.07
Personal records,1,apr,0.42
Cultural etiquette,0,apr,0.01
Snacks and sides,0,apr,0.02
Project planning,0,apr,0.28
Customer issue resolution,0,apr,0.44
Post-interview analysis,0,apr,0.01
Voice calls,0,apr,0.01
Jokes,0,apr,0.04
Desktop application debugging,0,apr,0.05
Instructional design,1,apr,0.78
Financial analysis,0,apr,0.1
ORM and data access,0,apr,0.01
Research and evidence,1,apr,1.33
Device pairing,0,apr,0
Essays,0,apr,0.41
Event planning,0,apr,0.09
Food products,0,apr,0.06
Regulatory documents,0,apr,0
Proactive activity scanning,0,apr,0.51
Parts sourcing,1,apr,0.06
Software development — other,1,apr,0.85
Character roleplay,0,apr,0.13
Animal behavior,1,apr,0.32
Scheduled reporting,0,apr,1.53
Consistency checking,1,apr,0.02
Code comprehension,0,apr,0.05
Renovation planning,0,apr,0.06
App architecture,0,apr,0.12
Network security,0,apr,0.01
Booking and scheduling,1,apr,0.55
Portrait generation,0,apr,0.01
Product longevity,0,apr,0.01
Chemical safety,0,apr,0.01
Grammar instruction,0,apr,0.14
Desktop GUI frameworks,0,apr,0.12
Government structure,0,apr,0.01
Alert routing,0,apr,0.01
Fluids and lubrication,0,apr,0.02
Property and ownership,1,apr,0.05
Code review,0,apr,0.06
Print publishing,1,apr,0.01
Virtual environment navigation,0,apr,0
Runtime environment,0,apr,0.04
Door hardware,0,apr,0.02
Dream interpretation,0,apr,0.03
Desserts,0,apr,0.01
Portfolio risk review,0,apr,0.03
Readiness confirmation,0,apr,0.04
Dashboard data integrity,0,apr,0.01
Lead qualification,0,apr,0.1
Sales & Revenue Operations,2,apr,1.57
Doneness and temperature,0,apr,0.03
News aggregation,0,apr,0.42
Deployment,0,apr,0.14
Product specifications,0,apr,0.24
Shopping venues,0,apr,0.01
Scientific data extraction,0,apr,0.01
Vegetarian mains,0,apr,0.01
Programming education,0,apr,0.46
Scheduling,0,apr,0.15
Business process and operations — other,1,apr,0.17
Novel writing,0,apr,0.71
Social media,0,apr,0.05
Linear algebra,0,apr,0.08
Weather,0,apr,0.01
Real-time lookups,1,apr,0.3
Marketing intelligence,0,apr,0.13
Retail availability,0,apr,0.39
Trading system diagnostics,0,apr,0.02
Calendar apps,0,apr,0.34
Bicycle repair,0,apr,0.02
Retirement information,0,apr,0.09
Engineering systems,0,apr,0.07
Destination research,1,apr,0.77
Philosophy,1,apr,0.13
Masonry,0,apr,0.01
Maritime chokepoints,0,apr,0.02
Image reading,1,apr,0.13
Exam review,0,apr,0.01
Automated pipelines,1,apr,1.12
Financial modeling,1,apr,1
Physical fit,0,apr,0.03
Configuration architecture,0,apr,0.01
Route planning,0,apr,0.03
Travel admin,0,apr,0.08
Biology,0,apr,0.14
Geopolitics and strategy,1,may,0.15
Navigation and routing,0,may,0
Business correspondence translation,0,may,0.02
Knowledge base authoring,0,may,0.59
Configuration authoring,0,may,0.03
Wellness lifestyle,0,may,0.1
Personal AI Assistant,2,may,4.19
Competitive intelligence,0,may,0.49
Chatbot development,0,may,0.01
Bathroom design,0,may,0.02
Art history,0,may,0.01
Structured drafting,0,may,0.44
Business ideation,1,may,0.4
Hardening and configuration,1,may,0.03
Genre craft,0,may,0
Profile optimization,0,may,0.3
Companionship & General Conversation,2,may,1.6
Workflow modeling,0,may,0.04
Security operations,1,may,0.05
Game community tooling,0,may,0.02
Education pathways,1,may,0.29
Template replication,0,may,0.02
Administrative petitions,0,may,0.02
Simulation bugs,0,may,0.03
Code security review,1,may,0.01
Computer architecture,0,may,0.04
Window treatments,0,may,0.02
Sales and revenue ops — other,1,may,0.32
Trade setup analysis,0,may,0.08
Internship reports,0,may,0.02
Business operations,1,apr,5.76
Wealth management,0,apr,0.04
Toxicology,0,apr,0.01
Personal ai assistant — other,1,apr,0.07
Embedded and hardware,0,apr,0.03
Formal linguistics,0,apr,0.01
Commerce,0,apr,0.04
Server infrastructure,1,apr,0.87
Cryptography and credentials,1,apr,0.01
Social science research,0,apr,0.11
Text normalization,0,apr,0.02
Workflow state routing,0,apr,0.26
Localization,0,apr,0.02
Threat detection,1,apr,0.05
Environment setup,0,apr,0.16
Research and intelligence — other,1,apr,0.03
Payroll benefits,0,apr,0.05
Plastics and polymers,0,apr,0.01
Literature screening,0,apr,0.03
Financial data retrieval,0,apr,0.02
Legal profession,0,apr,0.12
Announcements,0,apr,0.12
Financial modeling,0,apr,0.37
Mobile payments,0,apr,0.01
Trend tracking,1,apr,0.77
Prompt engineering,0,apr,0.07
Browser APIs,0,apr,0.03
School admissions,0,apr,0.15
Persistent knowledge systems,0,apr,0.1
Employee benefits,0,apr,0.01
Control flow,0,apr,0.01
Document generation,0,apr,0.36
Venues and tournaments,0,apr,0.02
Workflow modeling,0,apr,0.05
Visual verification,0,apr,0.02
Web security,0,apr,0
Natural language processing,0,apr,0.01
Document analysis,0,apr,0.53
Presentation authoring,0,may,1
Campaign briefs,0,may,0.09
Media asset validation,0,may,0
Electromagnetism,0,may,0.02
Video post-production,0,may,0.02
Agent architecture,0,apr,0.33
Footwear,0,apr,0.06
Marketing copy,0,apr,1.26
Modern physics,0,apr,0.03
Workplace writing,1,apr,2.69
Vehicle diagnostics,0,apr,0.12
Prompt engineering,1,apr,0.08
Discourse analysis,0,apr,0
Legal ethics,0,apr,0.01
Physics literature,0,apr,0.02
Metals,0,apr,0
Skincare,0,apr,0.24
Spreadsheets,0,apr,0.12
Trivia,0,apr,0.58
Security audit,0,apr,0.01
Celebrity and Pop Culture,0,apr,0.01
ML and data science,1,apr,0.27
Data pipelines,0,apr,0.1
Structured data output,0,apr,0.01
UI behavior,0,apr,0.14
Salary benchmarks,0,apr,0.15
Forms and documents,0,apr,0.08
Investigative reporting,0,apr,0.1
Health communication,0,apr,0.04
Company and deal research,1,apr,0.49
Patient simulation,0,apr,0.01
Flights,0,apr,0.1
Nominations,0,apr,0.03
Fabric and sustainability,0,apr,0.01
Events nightlife,0,apr,0.05
Manuscript critique,0,apr,0.12
Research & Intelligence,2,apr,12.44
Git workflow,1,apr,0.17
Self-presentation writing,1,apr,3.64
Reference documentation,1,apr,1
Personal messages,1,apr,0.39
Navigation and routing,0,apr,0.01
Reselling,0,apr,0.06
Revision tracking,0,apr,0.16
UI components,0,apr,0.19
Developmental psychology,0,apr,0.01
Pronunciation,0,apr,0.01
Numerical methods,0,apr,0
Grocery shopping,0,apr,0.02
Buying and selling secondhand,1,apr,0.17
Sleep science,0,apr,0.01
Scientific computing,0,apr,0.14
Configuration debugging,0,apr,0.06
EV,0,apr,0.01
Database bugs,0,apr,0.03
Lead list building,0,apr,0.2
Literary analysis,0,apr,0.26
Cloud service outages,0,apr,0.02
Illustration,0,apr,0.09
Platform safety screening,0,apr,0
Trust & Safety / Platform Integrity,2,apr,0.07
Hardware and electronics,1,apr,0.06
Film industry,0,apr,0.04
Packing and gear,0,apr,0.05
Research data discovery,0,apr,0.03
Algebra,0,apr,0.02
Algorithm correctness,0,apr,0.05
Local business lookup,0,apr,0.07
Options trading,0,apr,0.09
Discussion posts,0,apr,0.19
Career interview prep,1,apr,0.53
Order planning,0,apr,0.05
Robotics hardware,0,apr,0.01
Market research reports,0,apr,0.35
Early career,0,apr,0.01
Regression fixing,0,apr,0.03
Other / Unclear,2,apr,0.37
Document transformation,1,apr,0.75
Exotic pets,0,apr,0.02
Computer vision,0,apr,0.03
Publishing and announcements,1,apr,0.49
Object identification,0,apr,0.01
Debt repayment,0,apr,0.05
Alert routing,1,apr,0.04
Entertainment and Recreation,1,apr,0.38
Data storage,1,apr,0.17
Business intelligence tools,0,apr,0.03
Clarifying user intent,1,apr,0.06
Product comparison,0,apr,1.04
Audio engineering,0,apr,0.03
Standards compliance,0,apr,0
Cybersecurity & Threat Detection,2,apr,0.31
Medical law,0,apr,0
Outdoor and sporting gear,0,apr,0.09
System triage dispatch,0,apr,0.05
Citations,0,apr,0.04
Rules and eligibility,0,apr,0.28
Pest control,0,apr,0.05
Business Process & Operations,2,apr,5.93
Insurance documents,0,apr,0.02
Workflow automation,0,apr,0.1
Answer explanation,0,apr,0.39
Entertainment,0,apr,0.05
Entrepreneurship,0,apr,0.7
Philosophy,0,apr,0.13
Business strategy decks,0,apr,0.14
Pitch decks and cover letters,0,apr,0.04
Dietary supplements,0,apr,0.11
Property operations,0,apr,0.05
Oven baking,0,apr,0.06
Consumer protection,0,apr,0.01
Complaint letters,0,apr,0.1
Relocation and travel,1,apr,0.31
Spirituality and metaphysical practices,0,apr,0.08
Test authoring,0,apr,0.06
Career finance,0,apr,0.08
Research methodology,0,apr,0.12
Military history,0,apr,0.01
Engine mechanics,0,apr,0.04
Clinical note drafting,0,apr,0.08
Treasury operations,0,apr,0
Fraud history,0,apr,0.01
Recovery,0,apr,0.04
Devops and infrastructure — other,1,apr,0.07
Litigation,1,apr,0.11
Wine,1,apr,0.05
Course deliverables,0,apr,0.81
Food culture,0,apr,0.02
Data cleaning,0,apr,0.08
Real estate marketing,0,apr,0.09
Poetry lyrics,0,apr,0.16
Data mapping,0,apr,0
Statistics,0,apr,0.1
Threat detection,0,apr,0.02
AI evaluation and risk,1,apr,0.31
AI detection,0,apr,0
Structured extraction,1,apr,1.27
Script execution,0,apr,0.09
Fanfiction,0,apr,0.37
Life updates,0,apr,0.45
Local tradespeople,0,apr,0.06
"Existential, Relational, and Emotional Support",2,apr,4.31
Study materials,0,apr,1.15
Business operational finance,0,apr,0.45
Shell scripting,0,apr,0.12
Historical documentation,0,apr,0.08
Geopolitics,0,apr,0.08
Coaching and training,0,apr,0.07
Hydration,0,apr,0.02
Image upscaling,0,apr,0.01
Feature specs,0,apr,0.2
Science and engineering,0,apr,0.03
Financial simulation,0,apr,0.1
Account and billing,1,apr,0.51
Certification and training,1,apr,0.49
Image annotation,0,apr,0.01
SQL queries,0,apr,0.06
Automata theory,0,apr,0.02
Business reports,0,apr,0.28
Event tourism,0,apr,0.01
Job searching,0,apr,0.24
Backend architecture,1,apr,0.5
Video production,0,apr,0.1
Niche publishing,1,may,0.23
Ingredient substitution,0,may,0.03
Children's fiction,0,may,0.04
AI app building,1,may,0.88
Clarification prompts,0,may,0.05
3D modeling and printing,1,may,0.16
Metric anomaly triage,0,may,0.06
Tone rewriting,0,may,0.47
Workplace conflict,0,may,0.27
Cloud storage,0,may,0.02
UI behavior,0,may,0.14
Bilingual drafting,1,may,0.02
Health communication,0,may,0.04
Research hypothesis generation,0,may,0.07
Audience research,0,may,0.04
Odor elimination,0,may,0.01
Patient simulation,0,may,0.01
Invoice reconciliation,0,may,0.02
Manuscript critique,0,may,0.13
Self-presentation writing,1,may,3.61
Lawn care,0,may,0.07
Algorithm implementation,0,may,0.35
Waves and signals,0,may,0.02
Outfit evaluation,0,may,0.28
Financial marketing,0,may,0.04
Pronunciation,0,may,0.01
Interactive learning tools,0,may,0.16
Grocery shopping,0,may,0.03
Database record counting,0,may,0.03
Network diagnostics,0,may,0.1
Epistolary etiquette,0,may,0
EV,0,may,0.01
Web scraping,0,may,0.07
Physics education,0,may,0.01
Backend frameworks,0,may,0.03
Science and technology studies,0,may,0.01
Travel marketing,0,may,0.02
Color grading,0,may,0.03
Justification consistency,0,may,0.01
Industry and sector knowledge,1,may,0.33
Career planning,1,may,0.26
Rubric evaluation,0,may,0.14
Data record lookup,0,may,0.11
Customer support and service,1,may,0.52
Product taxonomy,0,may,0
Plastics and polymers,0,may,0.01
Business telephony,1,may,0
Home renovation,1,may,0.79
Announcements,0,may,0.13
Spreadsheet automation,0,may,0
Sorting ranking,0,may,0
AI onboarding,0,may,0
Author info,0,may,0.01
Music career,0,may,0
Real estate investing,0,may,0.16
Demographics,0,may,0.01
Transport rules,1,may,0.05
Home organization,0,may,0.07
Time zones,0,may,0.01
Build pipelines,0,may,0.06
Contract drafting,0,may,0.21
Political strategy,0,may,0.02
Empty inputs,1,may,0.19
Cook scheduling,0,may,0.02
Education & Learning,2,may,9.28
Platform compliance,0,may,0.01
Salary benchmarks,0,may,0.16
Legislative drafting,0,may,0
Real estate careers,0,may,0.03
Learning asset production,0,may,0.02
Security configuration,0,may,0.02
API debugging,0,may,0.33
Politics and public record,1,may,0.46
Industry and technology,0,may,0.01
Road tripping,0,may,0.02
Git workflow,1,may,0.16
Exam preparation,0,may,0.41
Reverse engineering,1,may,0.03
Personal messages,1,may,0.5
Display-constrained formatting,0,may,0
Translation,0,may,0.1
Zoning and planning,0,may,0.01
Film industry,1,may,0.04
Duplicate detection,0,may,0.01
Afterlife and mysticism,1,may,0.1
UI and layout review,1,may,0.13
AI self-knowledge,1,may,0.07
Film industry,0,may,0.04
Packing and gear,0,may,0.07
Scale modeling,0,may,0.02
Investment research,0,may,1.2
Regulatory compliance,0,may,0.31
AI output evaluation,1,may,0.06
Cooking,1,may,1.45
Database bugs,0,may,0.03
Business models,0,may,0.05
AI image generation,1,may,0.59
Game engine tooling,0,may,0.05
Wall mounting,0,may,0.02
Knowledge Retrieval & Enterprise Search,2,may,3.97
Graph algorithms,0,may,0
Paints coatings,0,may,0.06
Research data discovery,0,may,0.03
Fuel pricing,0,may,0.01
Strategic partnerships,0,may,0.02
Physical properties,1,may,0.05
Discussion posts,0,may,0.14
Sales coaching,0,may,0.05
Developer platform administration,0,may,0.02
Quality scoring,1,may,0.33
CSS styling,0,may,0.16
Reading apps,0,may,0.01
Meeting records,0,may,0.09
Capital raising,0,may,0.09
Persona adoption,0,may,0
Legal forms,0,may,0.13
Crypto token analysis,0,may,0
Personal development,0,may,0.19
Therapist practice,0,may,0.01
Infrastructure health checks,0,may,0.13
Media recommendations,0,may,0.13
Homework,1,may,4.58
Memory management,0,may,0.01
Memory retrieval,0,may,0.01
Employee benefits,0,may,0.01
Conversation and meeting intelligence,1,may,0.37
Venues and tournaments,0,may,0.02
Editing and rewriting,1,may,1.36
Legal education,0,may,0.12
Publishing strategy,0,may,0.08
Promotional writing,1,may,3.85
Digital forensics,0,may,0.02
Research organisation,0,may,0
Curriculum classification,0,may,0
Scientific computing,0,may,0.11
Configuration debugging,0,may,0.06
Portfolio management,0,may,0.32
Business compliance,1,may,0.4
Algorithms,1,may,0.01
Messaging integration,0,may,0.02
Ad campaign optimization,0,may,0.04
Law,0,may,0.03
Open-source ecosystems,0,may,0.01
Career interview prep,1,may,0.48
Reply drafting,0,may,0.37
Organizational intelligence,0,may,0.01
Job offer evaluation,0,may,0.1
General wellness information,0,may,0.15
Other / Unclear,2,may,0.33
Irrigation,0,may,0.03
Data pipeline debugging,0,may,0.03
Intellectual property,0,may,0.03
Systems programming,0,may,0.03
Inbox organisation,0,may,0.23
Personal data protection,0,may,0
Binary and low-level scripting,0,may,0.01
Computer vision,0,may,0.03
Report generation,0,may,0.13
Music discovery,0,may,0.08
Visual verification,0,may,0.03
Payroll documents,0,may,0.01
Feature implementation,0,may,0.69
Document translation,0,may,0.02
Document analysis,0,may,0.51
Ad campaigns,1,may,0.05
Taxation,0,may,0.14
Brakes,0,may,0.01
Transcript summarization,0,may,0.22
Marketing copy,0,may,1.34
Vehicle diagnostics,0,may,0.15
Justification consistency,0,apr,0.01
BI software learning,1,apr,0.04
Photo compositing,0,apr,0.06
Transcription cleanup,0,apr,0
Rubric evaluation,0,apr,0.16
Conversation scripting,0,apr,0.03
Document processing and extraction — other,1,apr,0.02
Science,1,apr,0.69
Trivia identification,0,apr,0.12
Security reporting,0,apr,0.02
Go-to-market,0,apr,0.22
Multi-agent trading analysis,0,apr,0.01
Home renovation,1,apr,0.63
Appliance cooking,0,apr,0.08
Geography,0,apr,0.05
Naming,0,apr,0.21
Photography critique,0,apr,0.03
Circuit analysis,0,apr,0.07
Data Visualization,0,apr,0.39
Infrastructure health checks,0,apr,0.18
Profile optimization,0,apr,0.28
Crypto marketing,0,apr,0.01
Nature and materials,1,apr,0.09
Conversation and meeting intelligence,1,apr,0.34
Workout programming,0,apr,0.48
Fluency coaching,0,apr,0.02
Document review,0,apr,0.32
Promotional writing,1,apr,3.55
Digital forensics,0,apr,0.03
Feature implementation,0,apr,0.63
Fantasy sports,0,apr,0.09
Cold outreach,0,apr,0.12
Sales and revenue ops — other,1,apr,0.29
Taxation,0,apr,0.34
Output quality scoring,0,apr,0
Packing and travel prep,1,apr,0.06
Property transactions,0,apr,0.12
Law study,1,apr,0.23
Image sourcing,0,apr,0.01
Desktop apps,1,apr,0.17
Music career,0,apr,0
Crypto regulation,0,apr,0.01
Laboratory science,0,apr,0.03
Display and audio,0,apr,0.02
Hobbies & Lifestyle,2,apr,11.63
Mobile development,0,apr,0.32
AI app building,1,apr,0.95
Data analysis prototyping,0,apr,0.28
Sector regulation,0,apr,0
Cloud billing forensics,0,apr,0.01
Live coverage,0,apr,0.03
Home organization,0,apr,0.07
Time zones,0,apr,0.01
Tone rewriting,0,apr,0.47
Business registration,0,apr,0.03
Contract drafting,0,apr,0.18
Political strategy,0,apr,0.02
Religion and Spirituality,1,apr,0.21
Education finance,0,apr,0.03
AI agent design,1,apr,0.5
Outbound validation,0,apr,0.01
Platform compliance,0,apr,0.01
Entertainment venues,0,apr,0.02
Document metadata,0,apr,0
Speech writing,0,apr,0.26
Learning asset production,0,apr,0.02
Psychology concepts,0,apr,0.13
Module design,0,apr,0.04
Marketplace deals,0,apr,0.06
Invoice reconciliation,0,apr,0.02
Industry and technology,0,apr,0.02
Travel logistics,1,apr,0.16
Credential auditing,0,apr,0.01
Reverse engineering,0,apr,0.02
Assignment data processing,0,apr,0.04
Reality TV,0,apr,0
Peripherals,0,apr,0.03
Display-constrained formatting,0,apr,0
Machine learning,0,apr,0.21
Sleep environment,0,apr,0.02
Compiler design,0,apr,0.02
Business correspondence translation,0,apr,0.02
Diplomatic negotiations,0,apr,0.02
Network diagnostics,0,apr,0.1
Emotional Wellbeing and Support,1,apr,2.97
Portfolio management,0,apr,0.25
Bilingual drafting,0,apr,0.01
Messaging integration,0,apr,0.02
Science and technology studies,0,apr,0.01
Course scheduling,0,apr,0.05
Mortgages and loans,0,apr,0.1
Game recommendations,0,apr,0.05
Authentication flows,0,apr,0.07
Venue profiles,0,apr,0
UI and layout review,1,apr,0.13
Knowledge Retrieval & Enterprise Search,2,apr,3.7
AI self-knowledge,1,apr,0.09
Media apps,0,apr,0.04
Scale modeling,0,apr,0.01
General Health and Medical,0,apr,1.71
Course discovery,0,apr,0.04
Mobile carrier setup,0,apr,0.01
Arithmetic,0,apr,0.02
Salvage and repurposing,0,apr,0.01
Law,0,apr,0.04
Recipe requests,0,apr,0.18
Structured data,0,apr,0
Sleep routines,0,apr,0.03
Astronomy,1,apr,0.01
Persona adoption,0,apr,0
Legal forms,0,apr,0.13
Visual analysis,0,apr,0.11
Inbox organisation,0,apr,0.22
Exam logistics,0,apr,0.03
Earth sciences,0,apr,0.01
Report generation,0,apr,0.14
App product design,0,apr,0.03
Cloud infrastructure,0,apr,0.06
Dev environment setup,1,apr,0.4
Criminal law information,0,apr,0.03
Self-understanding,0,apr,0.44
Budget planning,0,apr,0.03
Payment integration,0,apr,0.07
Fraud litigation,0,apr,0
Home tech setup,1,apr,0.37
Translation,1,apr,0.19
Test writing and running,1,apr,0.13
Agent monitoring,0,apr,0.06
Enterprise architecture,0,apr,0.04
Vulnerability triage,0,apr,0.01
DevOps & Infrastructure Operations,2,apr,2.94
Marketing technology,0,apr,0.21
Economic theory,0,apr,0.1
Code editors,0,apr,0.03
Code refactoring,0,apr,0.26
Classical mechanics,0,apr,0.08
Repository inspection,0,may,0.02
Infrastructure planning,0,may,0.11
Translation review,0,may,0
Conversation & Meeting Intelligence,2,may,0.37
Company research,0,may,0.05
Crypto regulation,0,may,0
Laboratory science,0,may,0.03
Display and audio,0,may,0.02
Database schema,0,may,0.06
Compliance & Regulatory,2,may,0.96
Stock screening,0,may,0.06
Location identification,0,may,0.01
Grooming and style,1,may,0.2
Mobile development,0,may,0.32
Smart lighting,0,apr,0.02
Customer Support & Service Operations,2,apr,0.5
Type systems,0,apr,0.01
Food media,0,apr,0.02
Starting a business,1,apr,3.6
Messaging platforms,0,apr,0
CRM,1,apr,0.56
Device data migration,0,apr,0.04
Veterinary medicine,0,apr,0.09
Sports recreation,0,apr,0.08
Optics,0,apr,0.02
Nail care,0,apr,0.02
API debugging,1,apr,0.51
Political science,0,apr,0.03
Database administration,0,apr,0.03
Scriptural translation,0,apr,0
Landscape design,0,apr,0.05
Sales outreach writing,1,apr,0.18
Filesystem operations,0,apr,0.05
System administration,0,apr,0.12
Proficiency assessment,0,apr,0
Trend monitoring,0,apr,0.04
Water quality,0,apr,0.01
Meeting prep,0,apr,0.24
Structural assessment,0,apr,0.04
Shipment tracking,0,apr,0.05
Document platforms,0,apr,0.01
Audio programming,0,apr,0.01
Mold,0,apr,0.01
Network protocols,0,apr,0
Public procurement,0,apr,0.01
Cooking troubleshooting,0,apr,0.04
AI ethics and risk,0,apr,0.03
Social science,1,apr,0.3
History,0,apr,0.04
Debugging,0,apr,0.07
Career navigation,1,apr,0.56
Approval workflows,0,apr,0.07
Financial education,0,apr,0.47
Religion and Spirituality,0,apr,0.21
Web development,0,apr,0.5
Skill acquisition,0,apr,0.04
Vector databases,0,apr,0.02
Fiction writing,1,apr,0.88
Code behavior verification,0,apr,0.01
Accounting and bookkeeping,1,apr,0.53
Fraud detection,0,apr,0.04
Vehicles and motors,1,apr,0.36
Wood materials,0,apr,0.01
Public budgets,0,apr,0.03
Government filings,1,apr,0.06
Contract review,0,apr,0.22
Device feature configuration,0,apr,0.13
Side income ideation,0,apr,0.11
Image resizing,0,apr,0.01
DevOps tools,0,apr,0.02
LLM application development,0,may,0.1
School administration,0,may,0.02
Celebrity and Pop Culture,0,may,0.02
Interactive fiction,0,may,0.2
Religion and Spirituality,1,may,0.22
Document Processing & Extraction,2,may,3.01
AI agent design,1,may,0.44
Data pipelines,0,may,0.09
Litigation procedure,0,may,0.06
Digital products,0,may,0.09
Energy infrastructure,0,may,0
Grant writing,1,may,0.27
Social benefits,0,may,0.03
Hobbies and lifestyle — other,1,may,0.48
Structural feedback,0,may,0.28
Marketplace deals,0,may,0.09
Regulatory rules,1,may,0.24
Financial data validation,0,may,0.01
Investment banking careers,0,may,0.03
Fabric and sustainability,0,may,0.01
AI product development,0,may,0.24
Image prompt writing,0,may,0.24
News writing,0,may,0.16
Landlord-tenant information,0,may,0.02
Data Analysis & Business Intelligence,2,may,3.76
Physical structure estimation,0,may,0
Reverse engineering,0,may,0.01
Assignment data processing,0,may,0.04
Reality TV,0,may,0
Family activities,0,may,0.02
Quant trading,1,may,0.64
Fragrance,0,may,0.05
Internal metrics lookup,0,may,0.02
Machine learning,0,may,0.15
Malware analysis,0,may,0.01
Compiler design,0,may,0.01
Taxonomy labeling,0,may,0
Product development,0,may,0.06
Child development,1,may,0.02
Debugging,1,may,0.27
Viewing experience,0,may,0.07
Network infrastructure,0,may,0.11
Travel tech tools,0,may,0
Lead list building,0,may,0.2
Car rental,0,may,0.03
Literary analysis,0,may,0.22
Distributed systems,0,may,0.01
Cloud service outages,0,may,0.02
Platform safety screening,0,may,0
Trust & Safety / Platform Integrity,2,may,0.08
Streaming culture,0,may,0.01
Numerical and scientific methods,1,may,0.05
Vehicle regulations,0,may,0
Sales analytics,0,may,0.2
Algorithm correctness,0,may,0.03
Infant care,1,may,0.05
Career direction,0,may,0.26
Game reference,0,may,0.76
Salvage and repurposing,0,may,0.01
Specialized translation,0,may,0.01
Clinical roleplay,1,may,0.01
Traveler rights,0,may,0.02
Login and permissions,1,may,0.08
Motorcycles,0,may,0.03
Position analysis,0,may,0.03
Trend reporting,0,may,0.01
E-commerce,0,may,0.08
Mortgages and loans,0,may,0.12
Power and charging,0,may,0.02
Multilingual workflows,0,may,0
Prompt injection detection,0,may,0
Game recommendations,0,may,0.06
Venue profiles,0,may,0.01
Candidate profile writing,0,may,0.02
Hardware and electronics,1,may,0.04
General Health and Medical,0,may,1.94
Course discovery,0,may,0.05
Code review automation,0,may,0
Mobile carrier setup,0,may,0.02
Options trading,0,may,0.1
Arithmetic,0,may,0.03
Data and metrics,0,may,0.02
Service identification,0,may,0.01
Business telephony,0,may,0
UI design,0,may,0.24
Practice simulators,0,may,0
Law and governance,0,may,0.06
App product design,0,may,0.02
Meal planning,0,may,0.27
Vehicle specifications,0,may,0.07
Cloud infrastructure,0,may,0.05
Dev environment setup,1,may,0.36
Accounting,0,may,0.03
Entertainment and Recreation,1,may,0.46
Business intelligence tools,0,may,0.03
Aquariums and terrariums,0,may,0.03
Soups and stews,0,may,0.03
Home tech setup,1,may,0.46
Workflow automation,0,may,0.09
ORM and data access,0,may,0.01
Credit,0,may,0.03
Business communication,0,may,0.02
Role discovery,0,may,0.06
Project scaffolding,0,may,0.15
Real estate tools,0,may,0.04
Knowledge retrieval and search — other,1,may,0.02
Offensive security,1,may,0.05
Exotic pets,0,may,0.03
Publishing and announcements,1,may,0.48
Fraud litigation,0,may,0.01
System triage dispatch,0,may,0.04
Jokes,0,may,0.04
Financial analysis,0,may,0.1
Structural systems,0,may,0.01
Device pairing,0,may,0.01
App store publishing,0,may,0.01
Enterprise architecture,0,may,0.04
Entertainment,0,may,0.06
Philosophy,0,may,0.14
Banking systems,0,may,0.02
Economic theory,0,may,0.08
Business strategy decks,0,may,0.13
Proactive activity scanning,0,may,0.5
Complaint letters,0,may,0.1
Contemporary religious movements,0,may,0.03
Fixed income,0,may,0.01
Entrepreneurship,0,may,0.7
Food products,0,may,0.05
Wildlife ecology,0,may,0.02
Conflict forecasting,0,may,0.03
Oven baking,0,may,0.08
Software development — other,1,may,0.88
Embedded systems,0,may,0.09
Character roleplay,0,may,0.13
Instructional design,0,may,0.38
Cosmetics and Personal Care,1,may,0.33
Law study,1,may,0.16
Image sourcing,0,may,0.01
Scheduled reporting,0,may,1.66
Organizational design,0,may,0.03
Booking and scheduling,1,may,0.71
Portrait generation,0,may,0.01
Public transit,0,may,0.04
Industry domain knowledge,0,may,0.32
Fraud history,0,may,0.02
Spirituality and metaphysical practices,1,may,0.1
Damages remedies,0,may,0
Cleaning,0,may,0.03
Starting a business,1,may,3.78
Messaging platforms,0,may,0.01
Criminal procedure,0,may,0.02
Device data migration,0,may,0.04
Geometry,0,may,0.01
Data cleaning,0,may,0.07
Code review,0,may,0.05
CRM data extraction,0,may,0.01
Poetry lyrics,0,may,0.16
Data mapping,0,may,0
Onomastics,0,may,0.02
Door hardware,0,may,0.02
Language learning strategy,0,may,0.03
Social media graphics,0,may,0.14
Foundations of mathematics,0,may,0.02
Observability,0,may,0.03
Proficiency assessment,0,may,0
EHR vendor analysis,0,may,0
Productivity scripting,0,may,0.05
AI detection,0,may,0
Consistency checking,1,may,0.02
Food media,0,may,0.02
Coding tools,1,may,0.13
Clinical note drafting,0,may,0.08
App prototyping,0,may,0.54
Government structure,0,may,0.01
Photo and video editing,1,may,0.47
Creator monetization,0,may,0.09
Sports recreation,0,may,0.1
Nail care,0,may,0.02
Fabric care,0,may,0.04
API debugging,1,may,0.47
Business law,0,may,0.06
SEO strategy,0,may,0.06
Survey analytics,0,may,0.02
Sales outreach writing,1,may,0.18
Tech recruitment,0,may,0.19
System administration,0,may,0.12
Idioms and phrases,0,may,0.02
Meeting prep,0,may,0.25
Appellate procedure,0,may,0.01
Short-form video scripts,0,may,0.42
Structural assessment,0,may,0.05
Lead qualification,0,may,0.1
Self-reflection,1,may,0.62
Solar power,0,may,0.01
Logistics documents,0,may,0.02
Metals,0,may,0
Casual image generation,0,may,0.02
Math and CS theory,1,may,0.88
Spreadsheets,0,may,0.13
Data analysis prototyping,0,may,0.22
Cloud billing forensics,0,may,0.01
Instruments,0,may,0.06
Security audit,0,may,0.01
Makeup,0,may,0.05
Subject line copywriting,0,may,0.01
Outbound validation,0,may,0.02
